Year,ICT_Exports,Exports of Goods and Services (BPM6),Imports of Goods and Services (BPM6),"Secondary Income (Net, includes remittances/transfers)",Financial Account,Gross Domestic Product (GDP),Workers’ Remittances (Inflows),Key Economic Indicators (Part A),Key Economic Indicators (Part B),Trade Balance (Exports - Imports),Balance of Payments Summary,Sectoral Trends / External Indicators (Part V),Sectoral Trends / External Indicators (Part VI),Sectoral Trends / External Indicators (Part VII),Miscellaneous Indicators (Part XXX),Miscellaneous Financing Indicators (Part XXXI)
1996-01-01,28882994.4807171,41163.2,22045.6,180701.0,1036.15,2510.03,33.44,8249.2,6.21,21829008.727272727,602.0,1871.0,25945.0,279.0,8957.3675,152237.61538461538
1997-01-01,37384864.332497,44356.0,22695.9,200177.0,574.06,2674.6,30.8,8852.2,6.21,21829008.727272727,640.0,1875.0,25336.0,294.0,8957.3675,152237.61538461538
1998-01-01,29363257.9158094,42990.0,35937.0,219695.0,568.64,3294.46,30.15,9478.6,6.21,21829008.727272727,695.0,1617.0,25970.0,304.0,8957.3675,152237.61538461538
1999-01-01,47707316.1946738,44692.0,38425.0,237086.0,893.53,4608.44,31.52,11034.6,6.21,21829008.727272727,709.0,1734.0,24848.0,325.0,8957.3675,17096.0
2000-01-01,24775377.3953744,45631.0,40551.0,253546.0,2004.5,4972.7,30.795,12547.0,6.21,21829008.727272727,715.0,1916.0,24938.0,338.0,8957.3675,19490.0
2001-01-01,13339690.9705456,46003.0,40300.0,273201.0,1931.6,6598.68,30.07,13581.6,6.21,21829008.727272727,726.0,1808.0,24946.0,364.0,8957.3675,21930.0
2002-01-01,36565461.4830984,48798.0,41627.0,300580.0,2042.7,7262.45,33.83,15024.4,6.21,21829008.727272727,740.0,1850.0,21678.0,388.0,8957.3675,24950.0
2003-01-01,74328974.0675347,52419.0,43449.0,332973.0,5078.6,8169.26,42.18,16942.2,6.21,21829008.727272727,762.0,1832.0,21260.0,470.0,8957.3675,28300.0
2004-01-01,63035013.4020517,56167.0,44230.0,370707.0,9818.0,9291.27,46.28,19965.9,6.21,21829008.727272727,798.0,1500.0,21332.0,573.0,8957.3675,31950.0
2005-01-01,37949366.0208876,62223.0,46545.0,415728.0,10102.8,11385.21,50.17,24496.3,6.21,21829008.727272727,856.0,1754.0,21846.0,671.0,8957.3675,36175.0
2006-01-01,90151377.0474736,70124.0,48730.0,472477.0,23112.8,11978.88,54.28,28363.0,6.21,21829008.727272727,856.0,1512.0,22944.0,870.0,8957.3675,39247.0
2007-01-01,89069774.4844399,80202.0,50157.0,545822.0,41640.4,15943.64,61.53,35188.3,6.21,21829008.727272727,856.0,1507.0,20061.0,951.0,8957.3675,48012.0
2008-01-01,137846290.921478,89426.0,52215.0,614795.0,38682.2,19673.16526,51.44,38970.0,6.21,21829008.727272727,856.0,1895.0,20061.0,981.0,8957.3675,55526.0
2009-01-01,219814369.087056,100588.0,55117.0,694324.0,64408.3,23709.40176,61.05,49947.3,6.21,21829008.727272727,856.0,1709.0,20061.0,1006.35,8957.3675,63956.0
2010-01-01,313247646.86641,113582.0,57923.0,796704.0,68061.9,23447.61152210376,70.51,59915.5,6.21,21829008.727272727,856.0,2133.0,20061.0,1030.0,8957.3675,79052.0
2011-01-01,456293261.671748,125751.0,59348.0,918141.0,51238.6,29246.78489211864,81.65,64200.7,6.21,21829008.727272727,856.0,2332.0,20061.0,955.0944444444444,8957.3675,96285.0
2012-01-01,410689940.903806,164189.5,114387.25,1198923.0,41710.1,30645.329417798,82.13,74633.6,6.21,21829008.727272727,856.0,2158.0,20061.0,970.1277777777776,8957.3675,116824.0
2013-01-01,381456438.955677,202628.0,169426.5,1343674.0,39281.1,24240.140711881,71.3665,84714.1,6.21,21829008.727272727,856.0,2326.0,20061.0,974.3388888888888,8957.3675,130178.0
2014-01-01,431349776.417422,241066.5,224465.75,1515802.0,36607.3,25987.258654581,65.0142,97361.5,6.21,23978480.0,856.0,2328.0,20061.0,780.2166666666667,8957.3675,140676.0
2015-01-01,481790850.410537,279505.0,279505.0,1732864.0,39555.603,23165.843384733,57.0235,130728.7,6.21,22289753.0,856.0,2289.0,20061.0,892.0,8957.3675,155400.0
2016-01-01,623380901.278893,301167.0,288438.0,1975817.0,56058.838,17943.426236539002,59.6589,149724.7,6.21,22322674.0,856.0,2134.0,20061.0,898.0,8957.3675,192261.0
2017-01-01,527794045.474725,329380.0,298662.0,2250481.0,56693.462,21303.057974675,63.65863,153411.2,6.21,22627089.0,856.0,2710.0,20061.0,932.0,5778.93,232202.0
2018-01-01,587843450.249022,353443.0,308399.9,2542484.0,59295.132,26143.3635736,60.13044,168858.3,6.21,22556671.0,856.0,2775.0,20061.0,1004.0,10372.989999999998,289600.0
2019-01-01,511501279.199495,270751.0,112423.0,2739332.0,44910.99,34046.0984813,56.93833333333333,206552.2,6.21,19695265.0,856.0,2755.0,20061.0,1241.0,8491.06,313068.0
2020-01-01,405083022.250769,410661.0,329075.0,3530185.0,67962.135,48521.2003037,63.341739,225322.2,6.21,20309012.0,856.0,3285.0,20061.0,1475.0,9550.240000000002,316000.0
2021-01-01,618499207.742806,445531.0,339125.0,3971716.0,68002.863,39158.1758543,62.6321078859537,254519.5,6.21,22051673.0,856.0,3001.0,20061.0,1479.0,9366.43,346000.0
2022-01-01,721191040.310312,494158.0,350559.0,4490842.0,67510.316,37457.3745224,66.9627264344779,254519.5,6.21,22105217.0,856.0,2901.0,20061.0,1479.0,9366.43,388000.0
2023-01-01,636693363.23167,494158.0,350559.0,4490842.0,61502.329,30516.55523993839,72.84920093095582,254519.5,6.21,21091631.0,856.0,2973.0,20061.0,1479.0,9366.43,388000.0
2024-01-01,701758914.526683,494158.0,350559.0,4490842.0,61502.329,30516.55523993839,72.84920093095582,254519.5,6.21,21091631.0,856.0,2973.0,20061.0,1479.0,9366.43,388000.0
